,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
60,@BBC,0.0,0.092,0.817,0.092,61,2018-09-30 07:31:05+00:00,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Levi dressed as a T.rex for a family portrait. 📸💛

https://t.co/imObchcXCy https://t.co/5ngWv5Mewt"
61,@BBC,0.5859,0.297,0.703,0.0,62,2018-09-30 07:04:02+00:00,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ"
62,@BBC,0.4215,0.257,0.743,0.0,63,2018-09-29 20:32:03+00:00,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo
63,@BBC,0.4215,0.118,0.882,0.0,64,2018-09-29 17:02:12+00:00,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish archipelago of St Kilda. https://t.co/nJAwjoSyoK
64,@BBC,-0.7003,0.0,0.707,0.293,65,2018-09-29 16:01:07+00:00,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu"
65,@BBC,0.5499,0.129,0.871,0.0,66,2018-09-29 15:54:38+00:00,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…"
66,@BBC,0.7088,0.329,0.671,0.0,67,2018-09-29 15:02:04+00:00,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT"
67,@BBC,0.0,0.0,1.0,0.0,68,2018-09-29 14:03:07+00:00,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY"
68,@BBC,-0.5256,0.0,0.747,0.253,69,2018-09-29 13:01:07+00:00,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6"
69,@BBC,-0.5622,0.0,0.768,0.232,70,2018-09-29 11:03:02+00:00,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR"
70,@BBC,0.4939,0.181,0.819,0.0,71,2018-09-29 10:03:05+00:00,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their tics.

https://t.co/L8Ie1NMPkA"
71,@BBC,-0.5267,0.0,0.746,0.254,72,2018-09-29 09:01:02+00:00,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc"
72,@BBC,0.6808,0.237,0.763,0.0,73,2018-09-29 08:11:46+00:00,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…
73,@BBC,-0.1022,0.144,0.691,0.165,74,2018-09-29 08:05:03+00:00,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza"
74,@BBC,0.0,0.0,1.0,0.0,75,2018-09-29 07:03:06+00:00,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw"
75,@BBC,0.0,0.0,1.0,0.0,76,2018-09-29 06:31:00+00:00,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of their decline.

Drowning in Plastic | 8.30pm | Monday 1st October | @BBCOne 

https://t.co/34t3gddRyJ https://t.co/nrtq4TEwcI"
76,@BBC,0.4184,0.088,0.912,0.0,77,2018-09-28 20:31:03+00:00,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort on the sofa, and @rodstewart performs! ✨

The Graham Norton Show | 10:35pm | @BBCOne | https://t.co/NcjDxOHQVj https://t.co/BQNFnD8h3P"
77,@BBC,-0.126,0.045,0.894,0.062,78,2018-09-28 18:32:03+00:00,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three remaining celebrities and the title. 

Celebrity MasterChef | 8:30pm | @BBCOne | https://t.co/TOmTGAiWmu https://t.co/bI90gKXLgJ"
78,@BBC,0.4215,0.286,0.714,0.0,79,2018-09-28 16:03:07+00:00,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA"
79,@BBC,0.1531,0.118,0.882,0.0,80,2018-09-28 15:01:02+00:00,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX"
80,@BBC,0.0,0.0,1.0,0.0,81,2018-09-28 14:03:07+00:00,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX
81,@BBC,-0.5346,0.177,0.478,0.345,82,2018-09-28 12:33:00+00:00,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE"
